Description,Value
"Child taken into care - average fiscal cost across different types of care setting, England, per year",70802.06
"Child taken into care: low cost, for children with no additional support needs - overall cost, for a specific care scenario",79714.85
"Child taken into care (low cost, for children with no additional support needs) - cost per care planning process, for a specific care scenario",407.02
"Child taken into care (low cost, for children with no additional support needs) - weekly cost of maintaining the placement, for a specific care scenario",718.27
"Child taken into care (low cost, for children with no additional support needs) - cost per review, for a specific care scenario",619.84
"Child taken into care (low cost, for children with no additional support needs) - weekly legal costs, for a specific care scenario",20.48
"Child taken into care (low cost, for children with no additional support needs) - cost of transition to leaving care, for a specific care scenario",1766.42
"Child taken into care: median cost, for children with emotional or behavioural difficulties - overall cost, for a specific care scenario",87815.36
"Child taken into care (median cost, for children with emotional or behavioural difficulties) - cost per care planning process, for a specific care scenario",407.02
"Child taken into care (median cost, for children with emotional or behavioural difficulties) - weekly cost of maintaining the placement, for a specific care scenario",658.42
"Child taken into care (median cost, for children with emotional or behavioural difficulties) - cost per review, for a specific care scenario",691.67
"Child taken into care (median cost, for children with emotional or behavioural difficulties) - weekly legal costs, for a specific care scenario",24.87
"Child taken into care (median cost, for children with emotional or behavioural difficulties) - cost of finding subsequent placement, for a specific care scenario",311.25
"Child taken into care: high cost, for children with emotional or behavioural difficulties and offending behaviour - overall cost, for a specific care scenario",486833.89
"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - cost per care planning process, for a specific care scenario",400.37
"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - total cost of maintaining the placement, for a specific care scenario",362111.34
"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - cost per review, for a specific care scenario",2380.94
"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - cost of finding subsequent placement, for a specific care scenario",1312.25
"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - costs of ceasing being looked after, for a specific care scenario",400.37
"Child taken into care: very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour - overall cost, for a specific care scenario",727103.74
"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - cost per care planning process, for a specific care scenario",316.57
"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - total cost of maintaining the placement, for a specific care scenario",680823.10
