Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care - average fiscal cost across different types of care setting, England, per year",Per year,Local Authority,Children's Services,70802.06453,,,DfE Section 251 data on LAC cost and 903 return data on number of LAC
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care: low cost, for children with no additional support needs - overall cost, for a specific care scenario",Per child,Local Authority,Children's Services,79714.85296,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.119"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (low cost, for children with no additional support needs) - cost per care planning process, for a specific care scenario",Per event,Local Authority,Children's Services,407.0206075,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.119"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (low cost, for children with no additional support needs) - weekly cost of maintaining the placement, for a specific care scenario",Per week,Local Authority,Children's Services,718.2716603,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.119"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (low cost, for children with no additional support needs) - cost per review, for a specific care scenario",Per event,Local Authority,Children's Services,619.8418402,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.119"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (low cost, for children with no additional support needs) - weekly legal costs, for a specific care scenario",Per week,Local Authority,Children's Services,20.48404365,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.119"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (low cost, for children with no additional support needs) - cost of transition to leaving care, for a specific care scenario",Per incident,Local Authority,Children's Services,1766.416231,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.119"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care: median cost, for children with emotional or behavioural difficulties - overall cost, for a specific care scenario",Per child,Local Authority,Children's Services,87815.36113,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - cost per care planning process, for a specific care scenario",Per event,Local Authority,Children's Services,407.0206075,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - weekly cost of maintaining the placement, for a specific care scenario",Per week,Local Authority,Children's Services,658.4156886,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
